Rank,City,State,Round,ABD,Amount INR CR,Final Category,Sub-Category,Project Name,IT/ITES
1,Bhubaneswar,Odisha,I,ABD,9.6,Health & Education,Health,E- Primary Health Care for All,Maybe
1,Bhubaneswar,Odisha,I,ABD,5.7,Economy,Investment,Invest BBSR,Maybe
1,Bhubaneswar,Odisha,I,ABD,21.5,Economy,Incubation Centre,Project Swabhimaan- Integrate | Incubate | Innovative,Maybe
1,Bhubaneswar,Odisha,I,ABD,6.73,Economy,Market,Street Vendors Improvement Project,Maybe
1,Bhubaneswar,Odisha,I,ABD,8.2,Governance,Governance,Project Kusum-  E3C- Model Anganwadi Centres | Multimedia Digital Learning in Schools,Yes
1,Bhubaneswar,Odisha,I,ABD,43.84,Water & Sanitation,Water Supply,24x7 Water Supply Water,No
1,Bhubaneswar,Odisha,I,ABD,20.62,Water & Sanitation,Water Recycling,Recycling Project,No
1,Bhubaneswar,Odisha,I,ABD,36.51,Water & Sanitation,Sanitation Sewerage,Decentralized Sewage Treatment Project,No
1,Bhubaneswar,Odisha,I,ABD,80.16,Energy & Ecology,Energy 24x7 Supply,24x7 Energy Supply,No
1,Bhubaneswar,Odisha,I,ABD,44.2,Energy & Ecology,Energy Distribution Network,Underground Electric Wiring,Yes
1,Bhubaneswar,Odisha,I,ABD,24.15,Water & Sanitation,Sanitation Recycling,Waste- Lets recycle,No
1,Bhubaneswar,Odisha,I,ABD,17.85,Water & Sanitation,Sanitation Miscellaneous,Project Samman,Maybe
1,Bhubaneswar,Odisha,I,ABD,0,Energy & Ecology,Energy Gas,City Gas Distribution Ducting (covered under Project URBS),No
1,Bhubaneswar,Odisha,I,ABD,0,Miscellaneous,Utility Duct,City Fiber Ducting (covered under Project URBS),Yes
1,Bhubaneswar,Odisha,I,ABD,0,Governance,Command Centre,Intelligent Operations and Management Centre (Integrated with Pan City Solution),Yes
1,Bhubaneswar,Odisha,I,ABD,105,IT,Wifi,City Wi-Fi Project,Yes
1,Bhubaneswar,Odisha,I,ABD,47.43,Energy & Ecology,Energy Metering,Smart Energy Meter & SCADA,Yes
1,Bhubaneswar,Odisha,I,ABD,33.78,Water & Sanitation,Water Metering,Smart Water Meter & SCADA,Yes
1,Bhubaneswar,Odisha,I,ABD,14.5,Water & Sanitation,Sanitation SWM,Smart Waste Management,Yes
1,Bhubaneswar,Odisha,I,ABD,4.5,IT,Management,Smart Environment Management,Yes
1,Bhubaneswar,Odisha,I,ABD,2.45,IT,Wifi,Public Internet Access Centres,Yes
1,Bhubaneswar,Odisha,I,ABD,1.5,IT,Literacy,Digital Literacy Initiative,Yes
1,Bhubaneswar,Odisha,I,ABD,1.75,Energy & Ecology,Energy Efficiency Measures,Energy Efficiency Initiative - DELP,Yes
1,Bhubaneswar,Odisha,I,ABD,1.5,IT,Wifi,City - Wifi Project,Yes
1,Bhubaneswar,Odisha,I,ABD,1.8,Energy & Ecology,Energy Efficiency Measures,United Nations Sustainable Energy for All (SE4ALL),No
1,Bhubaneswar,Odisha,I,ABD,0.62,Energy & Ecology,Energy LED Lighting,Initiative LED street lighting,No
1,Bhubaneswar,Odisha,I,ABD,82.5,Water & Sanitation,Water Supply,Energy efficient water pumps,Maybe
1,Bhubaneswar,Odisha,I,ABD,3,Energy & Ecology,Energy Solar,Solar City Program - Roof Top Micro Solar Power,No
1,Bhubaneswar,Odisha,I,ABD,9.5,Water & Sanitation,Water Rain Water Harvesting,Project Rain Water Harvesting,No
1,Bhubaneswar,Odisha,I,ABD,0.4,Governance,Disaster management earthquake,Structural Stability - Earthquake Resilience,No
1,Bhubaneswar,Odisha,I,ABD,0.4,Governance,Disaster Management Planning,Incident and Disaster Management Plan,No
1,Bhubaneswar,Odisha,I,PAN,101.57,Transport,Traffic,Traffic Signalling with Area Based Traffic Control,Yes
1,Bhubaneswar,Odisha,I,PAN,42.32,Transport,Traffic,Traffic Network Flow Monitoring,Yes
1,Bhubaneswar,Odisha,I,PAN,26.31,Governance,Security Surveillance,Video Surveillance and Incidence Management; Video Management,Yes
1,Bhubaneswar,Odisha,I,PAN,8.5,Transport,Signage,Variable Message Signs,No
1,Bhubaneswar,Odisha,I,PAN,34.04,Transport,Traffic,Video Analytics supported Traffic Violation Detection and E- challan,Yes
1,Bhubaneswar,Odisha,I,PAN,1.84,Transport,Traffic,Traffic Analytics Simulation and Modelling - TIA,Yes
1,Bhubaneswar,Odisha,I,PAN,11.68,Transport,Parking,Electronic Parking Systems for on-street Parking (20 km) and publicly owned Parking Lots,Yes
1,Bhubaneswar,Odisha,I,PAN,4.05,Transport,Parking,Integration of public and privately owned (publicly accessible) parking availability data  on to common platform and Parking Mobile App.,Yes
1,Bhubaneswar,Odisha,I,PAN,18.26,Transport,Public Transit,Fleet tracking for BPTSL buses privately owned city buses and para-transit,Yes
1,Bhubaneswar,Odisha,I,PAN,7.36,Transport,Public Transit,Depot and Asset Maintenance Management (limited to BPTSL bus fleet),Maybe
1,Bhubaneswar,Odisha,I,PAN,3.68,Transport,Public Transit,Crew and Bus scheduling for BPTSL - say 2 operators;,Maybe
1,Bhubaneswar,Odisha,I,PAN,43.15,Transport,Public Transit,Passenger Information systems on-board and at bus shelters. ; Mobiile App for Journey Planning and IEC to enhance Bus Transit Usage,Yes
1,Bhubaneswar,Odisha,I,PAN,3.68,Transport,Ticketing,Systems for pre-payments and card issuance; recharge; onboard ticketing systems,Yes
1,Bhubaneswar,Odisha,I,PAN,22.08,Transport,Public Transit,Back office and Customer Management Systems,Yes
1,Bhubaneswar,Odisha,I,PAN,0,Transport,Public Transit,Central Clearing House,Yes
1,Bhubaneswar,Odisha,I,PAN,3.68,Governance,Disaster management emergency response,Emergency response intake through call app or panic-button CAD; First Responder Coordination,Yes
1,Bhubaneswar,Odisha,I,PAN,23.92,Governance,Disaster management building,Multi-Agency Incidence Management for complex events - unplanned and planned,Yes
1,Bhubaneswar,Odisha,I,PAN,0.4,Governance,Disaster management communication,Radio Communication and Messaging,Yes
1,Bhubaneswar,Odisha,I,PAN,1.93,Governance,Disaster management emergency response,Extreme Weather Disaster Response,Yes
1,Bhubaneswar,Odisha,I,PAN,19.32,Governance,Command Centre,Command and Control Centre - Physical Building (see ICOMC space reqmt table),No
1,Bhubaneswar,Odisha,I,PAN,8.93,Governance,Command Centre,Video wall - Operations room (main for Multi-Agency) and other smaller ones for sub- domains & Video Management,Yes
1,Bhubaneswar,Odisha,I,PAN,1.55,Governance,Command Centre,Operator Work Stations,Yes
1,Bhubaneswar,Odisha,I,PAN,2.39,Governance,Command Centre,Data Centre Build Up (physical requirements),Yes
1,Bhubaneswar,Odisha,I,PAN,0.09,Governance,Command Centre,Conference Facilities,No
1,Bhubaneswar,Odisha,I,PAN,51.52,Governance,Command Centre,Core Utility Operations Integration City Ops Centre- alerting monitoring and major incidence management,Yes
2,Pune,Maharashtra,I,ABD,190,Transport,Roads,Road and road widening,No
2,Pune,Maharashtra,I,ABD,125,Transport,Public Transit,100 Electric buses,No
2,Pune,Maharashtra,I,ABD,189,Transport,Roads,Redesign of streets,No
2,Pune,Maharashtra,I,ABD,50,Transport,Parking,Smart parking,Yes
2,Pune,Maharashtra,I,ABD,31,Transport,Pedestrian Infrastructure,Footpaths (additional and retrofit),No
2,Pune,Maharashtra,I,ABD,10,Transport,NMT,Bicycles,No
2,Pune,Maharashtra,I,ABD,27,Transport,Public Transit,Bus stops (revamp 54 stations),No
2,Pune,Maharashtra,I,ABD,14,Transport,Roads,Junction redesign for 14 junctions,No
2,Pune,Maharashtra,I,ABD,5,Transport,NMT,Non-motorised street,No
2,Pune,Maharashtra,I,ABD,210,Transport,Public Transit,BRT,No
2,Pune,Maharashtra,I,ABD,3,Transport,Public Transit,Express airport services,No
2,Pune,Maharashtra,I,ABD,1,Transport,Para Transit,e-rickshaws,No
2,Pune,Maharashtra,I,ABD,99,Water & Sanitation,Water Recycling,Waste water recycling,No
2,Pune,Maharashtra,I,ABD,43,Water & Sanitation,Water Recycling,Storm water use,No
2,Pune,Maharashtra,I,ABD,87,Water & Sanitation,Water Supply,Adequate water supply,No
2,Pune,Maharashtra,I,ABD,6,Water & Sanitation,Water Rain Water Harvesting,Rainwater harvesting,No
2,Pune,Maharashtra,I,ABD,22,Water & Sanitation,Water Metering,Smart metering (water),Yes
2,Pune,Maharashtra,I,ABD,8,Water & Sanitation,Sanitation SWM,Rootzone to clean water,No
2,Pune,Maharashtra,I,ABD,16,Water & Sanitation,Sanitation SWM,Solid waste management,No
2,Pune,Maharashtra,I,ABD,2,Water & Sanitation,Sanitation SWM,Sanitation,No
2,Pune,Maharashtra,I,ABD,364,Energy & Ecology,Energy Smart Grid,Electricity distribution - Smart grid and metering,Yes
2,Pune,Maharashtra,I,ABD,27,Governance,Security Surveillance,Security,Maybe
2,Pune,Maharashtra,I,ABD,100,Energy & Ecology,Ecology Water Body,Riverfront development,No
2,Pune,Maharashtra,I,ABD,4,Energy & Ecology,Ecology Open Spaces,Open spaces,No
2,Pune,Maharashtra,I,ABD,3,Governance,Disaster Management fire,Fire stations - 2,No
2,Pune,Maharashtra,I,ABD,0,Economy,Skill Development,Low income skill development and healthcare,No
2,Pune,Maharashtra,I,ABD,40,Housing,EWS Housing,Build affordable housing,No
2,Pune,Maharashtra,I,ABD,146,IT,Wifi,IT connectivity,Yes
2,Pune,Maharashtra,I,PAN,0,Governance,Governance,e-gov,Yes
2,Pune,Maharashtra,I,PAN,0,Transport,Multi Modal Hub,Transit hub,No
2,Pune,Maharashtra,I,PAN,0,Economy,Incubation Centre,Start up zone,Yes
2,Pune,Maharashtra,I,PAN,123,Transport,Traffic,Adaptive Traffic Control System,Yes
2,Pune,Maharashtra,I,PAN,70,Transport,Public Transit,Bus System ITMS,Yes
2,Pune,Maharashtra,I,PAN,42,Transport,Public Transit,Command Control Center,Yes
2,Pune,Maharashtra,I,PAN,15,Transport,Parking,Total Smart Parking,Yes
2,Pune,Maharashtra,I,PAN,3,Transport,Traffic,Intelligent Road Management,Yes
2,Pune,Maharashtra,I,PAN,18,Transport,Traffic,Citilogik Solution,Yes
2,Pune,Maharashtra,I,PAN,1,Transport,Traffic,e-Chalaan,Yes
2,Pune,Maharashtra,I,PAN,0,Transport,Public Transit,Connectivity Costs,No
2,Pune,Maharashtra,I,PAN,22,Water & Sanitation,Water Metering,Pilot DMA for 24X7 Water,No
2,Pune,Maharashtra,I,PAN,83,Water & Sanitation,Water Metering,Bulk Meters,Yes
2,Pune,Maharashtra,I,PAN,19,Water & Sanitation,Water Metering,Helium leak identification,No
2,Pune,Maharashtra,I,PAN,60,Water & Sanitation,Water Metering,Smart Commercial Meters,Yes
2,Pune,Maharashtra,I,PAN,20,Water & Sanitation,Water Metering,Smart Domestic Meters,Yes
2,Pune,Maharashtra,I,PAN,5,Water & Sanitation,Water Customer Outreach,Customer Mapping and Survey,Yes
2,Pune,Maharashtra,I,PAN,6,Water & Sanitation,Sanitation Sewerage,Naidu STP Energy Generation,Maybe
2,Pune,Maharashtra,I,PAN,1,Water & Sanitation,Water Customer Outreach,Mobile app and website,Yes
2,Pune,Maharashtra,I,PAN,1,Water & Sanitation,Water Customer Outreach,Online bill payment,Yes
2,Pune,Maharashtra,I,PAN,2,Water & Sanitation,Water Quality Control,Consultancy service,No
2,Pune,Maharashtra,I,PAN,20,Water & Sanitation,Water Customer Outreach,Consumer Awareness,No
2,Pune,Maharashtra,I,ABD,30,Transport,Transport Miscellaneous,Placemaking,No
3,Jaipur,Rajasthan,I,ABD,52.7,Transport,NMT,Road Infrastructure major corridor for NMT modes including segregated cycle tracks,No
3,Jaipur,Rajasthan,I,ABD,8.1,Transport,Pedestrian Infrastructure,Footpath development for providing barrier free movement,No
3,Jaipur,Rajasthan,I,ABD,29.8,Transport,Pedestrian Infrastructure,Carriageway improvements including provision at bus shelters for providing universal access,No
3,Jaipur,Rajasthan,I,ABD,2.5,Transport,Pedestrian Infrastructure,Pedestrian friendly Intersection design and crossings,No
3,Jaipur,Rajasthan,I,ABD,2,Transport,Para Transit,e-Rickshaws Stands,No
3,Jaipur,Rajasthan,I,ABD,3,Transport,NMT,Public Bicycle sharing system,No
3,Jaipur,Rajasthan,I,ABD,5.2,Transport,Para Transit,Intelligent IPT (auto and taxi) stands,Yes
3,Jaipur,Rajasthan,I,ABD,10,Transport,Multi Modal Hub,Multimodal integration at 2 UG Metro stations,No
3,Jaipur,Rajasthan,I,ABD,5.5,Transport,Signage,Signage & Marking,No
3,Jaipur,Rajasthan,I,ABD,1.48,Transport,Signage,Digital Signage (Special designed boards with smart features (Variable Message Sign Boards) for traffic & tourism,Yes
3,Jaipur,Rajasthan,I,ABD,1.2,Transport,Traffic,Intelligent Traffic Management System - Synchronized Traffic Signals for optimum traffic flow,Yes
3,Jaipur,Rajasthan,I,ABD,8.18,Transport,Parking,Intelligent Parking at Jaleb Chowk Badi Chowpar Ramvivas Bagh and 7 on street parking - 3080 ecs,Yes
3,Jaipur,Rajasthan,I,ABD,23,Culture & Heritage,Visual Art & Science,Adaptive reuse of heritage structures of Jaleb Chowk to global art square,No
3,Jaipur,Rajasthan,I,ABD,130,Culture & Heritage,Museum,Adaptive reuse of heritage structures of old town hall to city musuem + high end theatre,No
3,Jaipur,Rajasthan,I,ABD,20,Culture & Heritage,Tourism,Adaptive reuse of of heritage structures of Rajasthan school of Art to tourist interprator centre,No
3,Jaipur,Rajasthan,I,ABD,30,Energy & Ecology,Ecology Water Body,Talkatora lake redevelopment - restoring & cleaning of lake,No
3,Jaipur,Rajasthan,I,ABD,50,Water & Sanitation,Water Recycling,Talkatora lake redevelopment -  high quality laser water re-use,No
3,Jaipur,Rajasthan,I,ABD,35,Culture & Heritage,Religious,Redevelopment of Govind Devji temple,No
3,Jaipur,Rajasthan,I,ABD,1.5,Energy & Ecology,Ecology corridor,Eco-friendly cool corridor,No
3,Jaipur,Rajasthan,I,ABD,50,Miscellaneous,Utility Duct,Underground cabling - for OH utilities,Yes
3,Jaipur,Rajasthan,I,ABD,1,Culture & Heritage,Information,Digital displays & information kiosks at heritage gates,Yes
3,Jaipur,Rajasthan,I,ABD,2,Culture & Heritage,Heritage Walk ,Heritage Walks (Smart poles/ CCTV/ Wi-Fi - to be covered in other schemes) + 11 heritage gates development,Yes
3,Jaipur,Rajasthan,I,ABD,1,Economy,Market,Night Market,No
3,Jaipur,Rajasthan,I,ABD,1,Economy,Vendor,Dedicated vending zone,No
3,Jaipur,Rajasthan,I,ABD,15,Water & Sanitation,Water Recycling,Waste Water Recycling for Select Public Buildings and Monuments,No
3,Jaipur,Rajasthan,I,ABD,2,Water & Sanitation,Water Recycling,Storm water reuse for public buildings and selected monuments Schools and Colleges and Parks,No
3,Jaipur,Rajasthan,I,ABD,1,Water & Sanitation,Water Rain Water Harvesting,RWH Proposal for all  Public Buildings Monuments Schools and Colleges and Parks in the project,No
3,Jaipur,Rajasthan,I,ABD,544,Water & Sanitation,Sanitation Sewerage,Rehabililtatlon of old sewer line of Walled city area by trenchless technology,No
3,Jaipur,Rajasthan,I,ABD,3,Water & Sanitation,Sanitation Toilets,Smart toilets- Coin operated entryself- cleansingSolar PoweredGPRS connected with display Boards and Voice Guidance.,Yes
3,Jaipur,Rajasthan,I,ABD,35,Water & Sanitation,Water Metering,Smart meters for water connections for automatic meter reading,Yes
3,Jaipur,Rajasthan,I,ABD,1,Water & Sanitation,Water Quality Control,Automated online water quality Monitoring System for the distribution network GPRS connected.,Yes
3,Jaipur,Rajasthan,I,ABD,52,IT,Wifi,WIFI network covering the entire selected area,Yes
3,Jaipur,Rajasthan,I,ABD,0.5,Energy & Ecology,Ecology quality monitor,Air Quality Monitoring With App,Yes
3,Jaipur,Rajasthan,I,ABD,1,Governance,Governance,Mobile application enabling citizens to report street problems connecting to e-governance portal,Yes
3,Jaipur,Rajasthan,I,ABD,2,Governance,Security Surveillance,CCTV proposed on 4 signalised intersections select monuments and heritage walk corridor of 11.5 m length,Yes
3,Jaipur,Rajasthan,I,ABD,0.5,Governance,Security emergency response,Incident alerts app Helpline and SOS Mobile number and Panic Buttons,Yes
3,Jaipur,Rajasthan,I,ABD,41,Energy & Ecology,Energy 24x7 Supply,Assured Electricity Supply with atleast 15% or Smart City's Energy requirement coming from solar,No
3,Jaipur,Rajasthan,I,ABD,35,Energy & Ecology,Energy Solar,Infrastructure Upgradation for Chaugan Stadium with provision for solar power and energy efficient lighting,No
3,Jaipur,Rajasthan,I,PAN,16.5,Transport,Ticketing,Implementation of common ticketing system on public entity owned transit systems & monuments (JCTL Buses JMRC monuments etc.) by MSP,Yes
3,Jaipur,Rajasthan,I,PAN,2.5,Transport,Ticketing,extension of common ticketing system to private operators private mini buses.IPT( auto - e rickshaws etc.)by MSP,Yes
3,Jaipur,Rajasthan,I,PAN,6.8,Transport,Public Transit,Deployment of scheduling depot management maintenance systems for JCTSL,No
3,Jaipur,Rajasthan,I,PAN,2.5,Transport,Public Transit,Deployment of fleet management systems for public entity owned transit system (JCTSL JMRC),Yes
3,Jaipur,Rajasthan,I,PAN,12.5,Transport,Public Transit,Extension of Fleet Management Systems private operators (Private Mini Buses IPTs),No
3,Jaipur,Rajasthan,I,PAN,33,Transport,Public Transit,Deployment of Public Transit Central operations centre systems,Yes
3,Jaipur,Rajasthan,I,PAN,25.7,Transport,Public Transit,Implementation of public transit information portal for public entity owned transit systems (JCTSL JMRC),Yes
3,Jaipur,Rajasthan,I,PAN,2.5,Transport,Public Transit,Extending public transiit information system to private operators (Private Mini Buses IPTs),No
3,Jaipur,Rajasthan,I,PAN,0.5,Transport,Public Transit,Development of Journey plannng apps & websites,Yes
3,Jaipur,Rajasthan,I,PAN,6,Governance,Communication,Communication & Change Management,No
3,Jaipur,Rajasthan,I,PAN,150,Transport,Public Transit,PRTS,No
3,Jaipur,Rajasthan,I,PAN,1,Water & Sanitation,Sanitation Miscellaneous,Implementation of systems for monitoring of collection & clearing activities,Maybe
3,Jaipur,Rajasthan,I,PAN,0.5,Water & Sanitation,Sanitation Miscellaneous,Registration of recyclers & rag pickers,No
3,Jaipur,Rajasthan,I,PAN,0.5,Water & Sanitation,Sanitation ICT,Development & Enhancement of Jaipur Unites App & Websites,Yes
3,Jaipur,Rajasthan,I,PAN,1,Water & Sanitation,Sanitation ICT,Integration of existing vehicle tracking systems & field monitoring,Yes
3,Jaipur,Rajasthan,I,PAN,22,Water & Sanitation,Sanitation ICT,Deployment of SWM Operations systems & asset management systems,Yes
3,Jaipur,Rajasthan,I,PAN,2,Water & Sanitation,Sanitation SWM,Vehicle scheduling depot asset management system for JNN,Maybe
3,Jaipur,Rajasthan,I,PAN,1.05,Water & Sanitation,Sanitation Miscellaneous,Fleet management systems for JNN vehicles,Maybe
3,Jaipur,Rajasthan,I,PAN,3.11,Water & Sanitation,Sanitation Miscellaneous,Extension of vehicle scheduling systems for primary collections (PPP operator),Maybe
3,Jaipur,Rajasthan,I,PAN,3.11,Water & Sanitation,Sanitation Miscellaneous,Extension of fleet management systems for primary collections (PPP Operator),Maybe
3,Jaipur,Rajasthan,I,PAN,9,Governance,Communication,Communications & Change management,No
3,Jaipur,Rajasthan,I,PAN,80,Water & Sanitation,Sanitation SWM,Door to Door Collection,No
3,Jaipur,Rajasthan,I,PAN,15,Water & Sanitation,Sanitation Miscellaneous,C & D,Yes
3,Jaipur,Rajasthan,I,PAN,50,Water & Sanitation,Sanitation Sewerage,Brahmapuri STP capacity enhancement,No
3,Jaipur,Rajasthan,I,PAN,200,Water & Sanitation,Sanitation Recycling,Waste to Energy,No
3,Jaipur,Rajasthan,I,ABD,31,Culture & Heritage,Culture & Heritage Restoration,Adaptive reuse of heritage structiures of old Police HQ to Jaipur Habitat Centre,No
3,Jaipur,Rajasthan,I,ABD,15,Culture & Heritage,Culture & Heritage Restoration,Ram Nivas Bagh Improvement,No
3,Jaipur,Rajasthan,I,ABD,35,Culture & Heritage,Culture & Heritage Restoration,Facade Improvement,No
3,Jaipur,Rajasthan,I,ABD,1,Culture & Heritage,Culture & Heritage Restoration,Rejuvenation of traditional Bawadis in Project Area,No
4,Surat,Gujarat,I,ABD,178,Water & Sanitation,Water Supply,24 x 7 Water Supply & Water Quality,No
4,Surat,Gujarat,I,ABD,17,Water & Sanitation,Water Metering,Common Utility Meter,Yes
4,Surat,Gujarat,I,ABD,30,Water & Sanitation,Water Rain Water Harvesting,Rain Water Recharging & Zero Liquid Discharge (WTP) Water Recharging through Storm water drainage system,No
4,Surat,Gujarat,I,ABD,155,Water & Sanitation,Sanitation Sewerage,STPs with SCADA & Energy Generation,Yes
4,Surat,Gujarat,I,ABD,100,Water & Sanitation,Water Recycling,Recycling/ Reuse of Waste Water,No
4,Surat,Gujarat,I,ABD,35,Energy & Ecology,Energy Renewable,Solar (1 MW) Wind Power Generation (2.1 MW) & Biogas plant,No
4,Surat,Gujarat,I,ABD,32,Energy & Ecology,Energy LED Lighting,Smart Street Lighting (LED) & Monitoring System,Yes
4,Surat,Gujarat,I,ABD,200,Energy & Ecology,Ecology Water Body,Remodelling & Restructuring of existing creek to create open spaces,No
4,Surat,Gujarat,I,ABD,210,Transport,Parking,Smart Parking (Mechanized Parking),Yes
4,Surat,Gujarat,I,ABD,50,Transport,NMT,Visible Improvement in area (Non-vehicle zone streetWalkability - Footpath Non-motorized vehicles Signages Skywalk),No
4,Surat,Gujarat,I,ABD,20,Economy,Incubation Centre,Innovation Incubation & Start-Up & Trade Facilitation Centre,Yes
4,Surat,Gujarat,I,ABD,50,Economy,Commercial Complex,Modernisation of Logistic Park,No
4,Surat,Gujarat,I,ABD,240,Housing,EWS Housing,Affordable Housing (1050 EWS/1950 LIG),No
4,Surat,Gujarat,I,ABD,460,Housing,EWS Housing,Affordable Housing (5750 Units),No
4,Surat,Gujarat,I,ABD,25,Housing,Resident Services,Advanced Grievance Redressal System Smart Waste Collection System Air & Water Quality Monitoring System and Area Surveillance Network,Yes
4,Surat,Gujarat,I,PAN,183,Transport,Traffic,Surat IT-MAC (Integrated Transport - Mobility Administration Center) Intelligent Transit Management System Automated Traffic Control System,Yes
4,Surat,Gujarat,I,PAN,166,Transport,Public Transit,Automatic Fare collection system Automated Sliding Door at High Mobility Corridor & BRTS,Yes
4,Surat,Gujarat,I,PAN,107,Transport,Public Transit,Development  of ERP with GIS Platform,Yes
4,Surat,Gujarat,I,PAN,75,Governance,Governance,SMAC Center (SMArt City Center) MySurat.in [Active Citizen Engagement] Data Center Strengthening  & DR Site Open Surat - Open Data Mobile Apps Mobile tickets Social Media M-ID (Mobile ID),Yes
4,Surat,Gujarat,I,PAN,44,Transport,Ticketing,S-Connect Card Management  System (Co-Branded Multi- Application Contactless Smart Card),Yes
4,Surat,Gujarat,I,PAN,220,IT,Wifi,Connected Surat [WiFi-Surat :: FTH (Fibre to Home)],Yes
5,Kochi,Kerala,I,ABD,1,Water & Sanitation,Water Supply,Karuvelipady Pump house - Pumping augmentation,No
5,Kochi,Kerala,I,ABD,0.55,Water & Sanitation,Water Supply,Extension of pipelines from Maradu to Island to be extended to West Kochi to supply 12 MLD,No
5,Kochi,Kerala,I,ABD,11,Water & Sanitation,Water Supply,Replacement of pipe lines from Perumanoor to Thevara and Thoppumpady bridge to Karuvelipady,No
5,Kochi,Kerala,I,ABD,3.5,Water & Sanitation,Water Supply,Dedicated pumping main,No
5,Kochi,Kerala,I,ABD,8,Water & Sanitation,Water Supply,Storage capacity augmentation in Karuvelipady sump by 5 million litres,No
5,Kochi,Kerala,I,ABD,0.75,Water & Sanitation,Water Supply,Three OH Tanks in the region (Modibath Fort Kochi and Koovapadam),No
5,Kochi,Kerala,I,ABD,35,Water & Sanitation,Water Supply,Replacement of 20 kms of Distribution line with D.I. pipes including Road cutting charges,No
5,Kochi,Kerala,I,ABD,25,Water & Sanitation,Water Metering,Replacement of Household connections (last mile) for across 10000 HSCs with Smart Metering and isolation valves,Yes
5,Kochi,Kerala,I,ABD,1,Water & Sanitation,Water Metering,Bulk Meters and Isolation valves with remote meter reading,Yes
5,Kochi,Kerala,I,ABD,10,Water & Sanitation,Water Supply,Rider line for increased water supply,No
5,Kochi,Kerala,I,ABD,3,Water & Sanitation,Water Supply,Overhead Storage Reservoir + 1 Million Litre Sump + pump near Ernakulam Ground,No
5,Kochi,Kerala,I,ABD,11.25,Water & Sanitation,Water Rain Water Harvesting,Rainwater structures in ~5000 households,No
5,Kochi,Kerala,I,ABD,22,Water & Sanitation,Sanitation Sewerage,Decentralised Treatment and collection system for West Kochi under ADB (Mundamveli),No
5,Kochi,Kerala,I,ABD,110,Water & Sanitation,Sanitation Sewerage,Small bore sewer/ Vacuum system for onsite sanitation - Includes storage facility for treated water use for landscaping,No
5,Kochi,Kerala,I,ABD,70,Water & Sanitation,Sanitation Sewerage,Improvements to Elamkulam STP and collection system Mainland (JNNURM scheme),No
